Sample description: Zero Background (ZB) reduction performed following an available procedure of the BioSAXS beamline operated by ANSTO at the Australian Synchrotron.
Sample: Zero Background  c= 0 mg/ml  Code: 
Parent(s): /home/st/nov/fin/ins2/scale2/c0.dat
  5.888383e-01   5.100000e-05   4.498078e-06
  5.901083e-01   5.370000e-05   4.505004e-06
  5.913783e-01   5.968000e-05   4.516369e-06
  5.926483e-01   5.493000e-05   4.532218e-06
  5.939183e-01   5.175000e-05   4.539513e-06
  5.951884e-01   5.382000e-05   4.555483e-06
  5.964584e-01   5.769000e-05   4.566296e-06
  5.977284e-01   5.209000e-05   4.568049e-06
  5.989984e-01   4.934000e-05   4.582619e-06
  6.002685e-01   5.067000e-05   4.591632e-06
  6.015385e-01   5.336000e-05   4.600798e-06
  6.028085e-01   5.951000e-05   4.616319e-06
  6.040785e-01   5.083000e-05   4.622221e-06
  6.053485e-01   4.863000e-05   4.634282e-06
  6.066186e-01   5.916000e-05   4.647673e-06
  6.078886e-01   5.463000e-05   4.650270e-06
  6.091586e-01   5.632000e-05   4.663670e-06
  6.104286e-01   5.201000e-05   4.673074e-06
  6.116986e-01   4.629000e-05   4.679291e-06
  6.129687e-01   4.908000e-05   4.698502e-06
  6.142387e-01   5.735000e-05   4.708071e-06
  6.155087e-01   4.637000e-05   4.720747e-06
  6.167787e-01   5.380000e-05   4.732644e-06
  6.180487e-01   5.680000e-05   4.731218e-06
  6.193188e-01   4.787000e-05   4.744771e-06
  6.205888e-01   4.940000e-05   4.757051e-06
  6.218588e-01   4.585000e-05   4.762292e-06
  6.231288e-01   5.041000e-05   4.782132e-06
  6.243989e-01   5.084000e-05   4.801252e-06
  6.256689e-01   4.834000e-05   4.817606e-06
  6.269389e-01   4.950000e-05   4.838314e-06
  6.282089e-01   4.865000e-05   4.842012e-06
  6.294789e-01   4.776000e-05   4.849668e-06
  6.307490e-01   5.390000e-05   4.855521e-06
  6.320190e-01   5.536000e-05   4.850278e-06
  6.332890e-01   5.196000e-05   4.856595e-06
  6.345590e-01   5.696000e-05   4.850387e-06
  6.358290e-01   5.130000e-05   4.838697e-06
  6.370991e-01   5.156000e-05   4.876015e-06
  6.383691e-01   4.792000e-05   4.925826e-06
  6.396391e-01   5.462000e-05   4.961461e-06
  6.409091e-01   5.313000e-05   4.990333e-06
  6.421791e-01   4.952000e-05   5.008731e-06
  6.434492e-01   4.423000e-05   5.035684e-06
  6.447192e-01   4.689000e-05   5.061586e-06
  6.459892e-01   4.503000e-05   5.085492e-06
  6.472592e-01   5.136000e-05   5.114525e-06
  6.485293e-01   5.314000e-05   5.129940e-06
  6.497993e-01   5.092000e-05   5.153930e-06
  6.510693e-01   4.865000e-05   5.180346e-06
  6.523393e-01   4.393000e-05   5.203155e-06
  6.536093e-01   4.402000e-05   5.233964e-06
  6.548794e-01   4.445000e-05   5.259999e-06
  6.561494e-01   4.834000e-05   5.280346e-06
  6.574194e-01   3.935000e-05   5.303886e-06
  6.586894e-01   3.940000e-05   5.266896e-06
  6.599594e-01   4.866000e-05   5.235253e-06
  6.612295e-01   5.113000e-05   5.229867e-06
  6.624995e-01   4.484000e-05   5.217002e-06
  6.637695e-01   5.022000e-05   5.221381e-06
  6.650395e-01   4.092000e-05   5.228063e-06
  6.663095e-01   3.647000e-05   5.222696e-06
  6.675796e-01   4.392000e-05   5.234223e-06
  6.688496e-01   4.063000e-05   5.235684e-06
  6.701196e-01   4.399000e-05   5.238641e-06
  6.713896e-01   4.388000e-05   5.244600e-06
  6.726597e-01   4.283000e-05   5.231343e-06
  6.739297e-01   3.851000e-05   5.230453e-06
  6.751997e-01   3.857000e-05   5.235489e-06
  6.764697e-01   3.563000e-05   5.232164e-06
  6.777397e-01   4.033000e-05   5.244412e-06
  6.790098e-01   3.839000e-05   5.247288e-06
  6.802798e-01   4.155000e-05   5.247564e-06
  6.815498e-01   4.118000e-05   5.256405e-06
  6.828198e-01   3.724000e-05   5.251204e-06
  6.840898e-01   3.895000e-05   5.255829e-06
  6.853599e-01   3.562000e-05   5.265695e-06
  6.866299e-01   4.119000e-05   5.264144e-06
  6.878999e-01   3.546000e-05   5.277286e-06
  6.891699e-01   4.079000e-05   5.283946e-06
  6.904399e-01   4.044000e-05   5.283233e-06
  6.917100e-01   4.126000e-05   5.292371e-06
  6.929800e-01   3.833000e-05   5.292403e-06
  6.942500e-01   3.169000e-05   5.301029e-06
  6.955200e-01   3.033000e-05   5.314048e-06
  6.967901e-01   3.594000e-05   5.308800e-06
  6.980601e-01   2.996000e-05   5.321269e-06
  6.993301e-01   3.308000e-05   5.328868e-06
  7.006001e-01   3.391000e-05   5.326745e-06
  7.018701e-01   3.132000e-05   5.338251e-06
  7.031402e-01   2.821000e-05   5.349775e-06
  7.044102e-01   2.752000e-05   5.366683e-06
  7.056802e-01   2.929000e-05   5.388261e-06
  7.069502e-01   2.705000e-05   5.399154e-06
  7.082202e-01   2.683000e-05   5.423820e-06
  7.094903e-01   2.990000e-05   5.431897e-06
  7.107603e-01   2.267000e-05   5.425237e-06
  7.120303e-01   2.253000e-05   5.435710e-06
  7.133003e-01   3.001000e-05   5.433218e-06
Parent(s): /home/st/nov/fin/ins2/scale2/c0.dat
The version of the BioSAXS data reduction algorithm software was: 0.7.5
Acquisition started on 2025-11-14 05: 54:19.024738
Acquisition ended on 2025-11-14 05: 54:54.860086
Centre x pixel nominal, Centre y pixel nominal: (0.0, 0.0)
